Name: Pressure reduced to MSL, Level: 0 meanSea, Units: Pa, Forecast Hour: 0
Name: Low cloud cover, Level: 0 lowCloudLayer, Units: %, Forecast Hour: 0
Name: Medium cloud cover, Level: 0 middleCloudLayer, Units: %, Forecast Hour: 0
Name: High cloud cover, Level: 0 highCloudLayer, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 0 atmosphere, Units: %, Forecast Hour: 0
Name: Geopotential height, Level: 0 cloudCeiling, Units: gpm, Forecast Hour: 0
Name: Storm relative helicity, Level: 3000 heightAboveGroundLayer, Units: m**2 s**-2, Forecast Hour: 0
Name: U-component storm motion, Level: 6000 heightAboveGroundLayer, Units: m s**-1, Forecast Hour: 0
Name: V-component storm motion, Level: 6000 heightAboveGroundLayer, Units: m s**-1, Forecast Hour: 0
Name: Tropopause pressure, Level: 0 tropopause, Units: Pa, Forecast Hour: 0
Name: ICAO Standard Atmosphere reference height, Level: 0 tropopause, Units: m, Forecast Hour: 0
Name: Geopotential height, Level: 0 tropopause, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 0 tropopause, Units: K, Forecast Hour: 0
Name: U component of wind, Level: 0 tropopause, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 0 tropopause, Units: m s**-1, Forecast Hour: 0
Name: Vertical speed shear, Level: 0 tropopause, Units: s**-1, Forecast Hour: 0
Name: Pressure, Level: 0 maxWind, Units: Pa, Forecast Hour: 0
Name: ICAO Standard Atmosphere reference height, Level: 0 maxWind, Units: m, Forecast Hour: 0
Name: Geopotential height, Level: 0 maxWind, Units: gpm, Forecast Hour: 0
Name: U component of wind, Level: 0 maxWind, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 0 maxWind, Units: m s**-1, Forecast Hour: 0
Name: Temperature, Level: 0 maxWind, Units: K, Forecast Hour: 0
Name: U component of wind, Level: 20 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 20 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 30 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 30 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 40 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 40 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 50 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 50 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: Temperature, Level: 80 heightAboveGround, Units: K, Forecast Hour: 0
Name: Specific humidity, Level: 80 heightAboveGround, Units: kg kg**-1, Forecast Hour: 0
Name: Pressure, Level: 80 heightAboveGround, Units: Pa, Forecast Hour: 0
Name: U component of wind, Level: 80 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 80 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: Temperature, Level: 100 heightAboveGround, Units: K, Forecast Hour: 0
Name: 100 metre U wind component, Level: 100 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: 100 metre V wind component, Level: 100 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: Temperature, Level: 1829 heightAboveSea, Units: K, Forecast Hour: 0
Name: U component of wind, Level: 1829 heightAboveSea, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 1829 heightAboveSea, Units: m s**-1, Forecast Hour: 0
Name: Temperature, Level: 2743 heightAboveSea, Units: K, Forecast Hour: 0
Name: U component of wind, Level: 2743 heightAboveSea, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 2743 heightAboveSea, Units: m s**-1, Forecast Hour: 0
Name: Temperature, Level: 3658 heightAboveSea, Units: K, Forecast Hour: 0
Name: U component of wind, Level: 3658 heightAboveSea, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 3658 heightAboveSea, Units: m s**-1, Forecast Hour: 0
Name: Geopotential height, Level: 0 isothermZero, Units: gpm, Forecast Hour: 0
Name: Relative humidity, Level: 0 isothermZero, Units: %, Forecast Hour: 0
Name: Geopotential height, Level: 0 highestTroposphericFreezing, Units: gpm, Forecast Hour: 0
Name: Relative humidity, Level: 0 highestTroposphericFreezing, Units: %, Forecast Hour: 0
Name: Temperature, Level: 3000 pressureFromGroundLayer, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 3000 pressureFromGroundLayer, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 3000 pressureFromGroundLayer, Units: kg kg**-1, Forecast Hour: 0
Name: U component of wind, Level: 3000 pressureFromGroundLayer, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 3000 pressureFromGroundLayer, Units: m s**-1, Forecast Hour: 0
Name: Best (4-layer) lifted index, Level: 0 surface, Units: K, Forecast Hour: 0
Name: Convective available potential energy, Level: 18000 pressureFromGroundLayer, Units: J kg**-1, Forecast Hour: 0
Name: Convective inhibition, Level: 18000 pressureFromGroundLayer, Units: J kg**-1, Forecast Hour: 0
Name: unknown, Level: 0 surface, Units: unknown, Forecast Hour: 0
Name: Relative humidity, Level: 0 sigmaLayer, Units: %, Forecast Hour: 0
Name: Relative humidity, Level: 0 sigmaLayer, Units: %, Forecast Hour: 0
Name: Relative humidity, Level: 1 sigmaLayer, Units: %, Forecast Hour: 0
Name: Relative humidity, Level: 0 sigmaLayer, Units: %, Forecast Hour: 0
Name: Temperature, Level: 1 sigma, Units: K, Forecast Hour: 0
Name: Potential temperature, Level: 1 sigma, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 1 sigma, Units: %, Forecast Hour: 0
Name: U component of wind, Level: 1 sigma, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 1 sigma, Units: m s**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 1 sigma, Units: Pa s**-1, Forecast Hour: 0
Name: Convective available potential energy, Level: 9000 pressureFromGroundLayer, Units: J kg**-1, Forecast Hour: 0
Name: Convective inhibition, Level: 9000 pressureFromGroundLayer, Units: J kg**-1, Forecast Hour: 0
Name: Convective available potential energy, Level: 25500 pressureFromGroundLayer, Units: J kg**-1, Forecast Hour: 0
Name: Convective inhibition, Level: 25500 pressureFromGroundLayer, Units: J kg**-1, Forecast Hour: 0
Name: Pressure of level from which parcel was lifted, Level: 25500 pressureFromGroundLayer, Units: Pa, Forecast Hour: 0
Name: Land-sea mask, Level: 0 surface, Units: (0 - 1), Forecast Hour: 0
Name: Sea ice area fraction, Level: 0 surface, Units: (0 - 1), Forecast Hour: 0
Name: Sea ice temperature, Level: 0 surface, Units: K, Forecast Hour: 0
Name: U component of wind, Level: 2000 potentialVorticity, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 2000 potentialVorticity, Units: m s**-1, Forecast Hour: 0
Name: Temperature, Level: 2000 potentialVorticity, Units: K, Forecast Hour: 0
Name: Geopotential height, Level: 2000 potentialVorticity, Units: gpm, Forecast Hour: 0
Name: Pressure, Level: 2000 potentialVorticity, Units: Pa, Forecast Hour: 0
Name: Vertical speed shear, Level: 2000 potentialVorticity, Units: s**-1, Forecast Hour: 0
Name: U component of wind, Level: 2147485648 potentialVorticity, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 2147485648 potentialVorticity, Units: m s**-1, Forecast Hour: 0
Name: Temperature, Level: 2147485648 potentialVorticity, Units: K, Forecast Hour: 0
Name: Geopotential height, Level: 2147485648 potentialVorticity, Units: gpm, Forecast Hour: 0
Name: Pressure, Level: 2147485648 potentialVorticity, Units: Pa, Forecast Hour: 0
Name: Vertical speed shear, Level: 2147485648 potentialVorticity, Units: s**-1, Forecast Hour: 0
